incoming_mask,one_mask,return_arcs,safe_colors
3,3,,01
5,3,,01
6,3,,01
9,3,,01
10,3,,01
12,3,,01
3,3,2>3,01
5,3,2>3,01
6,3,2>3,01
9,3,2>3,1
10,3,2>3,1
12,3,2>3,01
3,3,3>2,01
5,3,3>2,1
6,3,3>2,1
9,3,3>2,01
10,3,3>2,01
12,3,3>2,01
3,3,0>1,01
5,3,0>1,01
6,3,0>1,0
9,3,0>1,01
10,3,0>1,0
12,3,0>1,01
3,3,0>1;2>3,01
5,3,0>1;2>3,01
6,3,0>1;2>3,0
9,3,0>1;2>3,1
10,3,0>1;2>3,
12,3,0>1;2>3,01
3,3,0>1;3>2,01
5,3,0>1;3>2,1
6,3,0>1;3>2,
9,3,0>1;3>2,01
10,3,0>1;3>2,0
12,3,0>1;3>2,01
3,3,1>0,01
5,3,1>0,0
6,3,1>0,01
9,3,1>0,0
10,3,1>0,01
12,3,1>0,01
3,3,1>0;2>3,01
5,3,1>0;2>3,0
6,3,1>0;2>3,01
9,3,1>0;2>3,
10,3,1>0;2>3,1
12,3,1>0;2>3,01
3,3,1>0;3>2,01
5,3,1>0;3>2,
6,3,1>0;3>2,1
9,3,1>0;3>2,0
10,3,1>0;3>2,01
12,3,1>0;3>2,01
3,5,,01
5,5,,01
6,5,,01
9,5,,01
10,5,,01
12,5,,01
3,5,1>3,01
5,5,1>3,01
6,5,1>3,01
9,5,1>3,1
10,5,1>3,01
12,5,1>3,1
3,5,3>1,1
5,5,3>1,01
6,5,3>1,1
9,5,3>1,01
10,5,3>1,01
12,5,3>1,01
3,5,0>2,01
5,5,0>2,01
6,5,0>2,0
9,5,0>2,01
10,5,0>2,01
12,5,0>2,0
3,5,2>0,0
5,5,2>0,01
6,5,2>0,01
9,5,2>0,0
10,5,2>0,01
12,5,2>0,01
3,6,,01
5,6,,01
6,6,,01
9,6,,01
10,6,,01
12,6,,01
3,6,0>3,01
5,6,0>3,01
6,6,0>3,01
9,6,0>3,01
10,6,0>3,1
12,6,0>3,1
3,6,3>0,1
5,6,3>0,1
6,6,3>0,01
9,6,3>0,01
10,6,3>0,01
12,6,3>0,01
3,6,1>2,01
5,6,1>2,0
6,6,1>2,01
9,6,1>2,01
10,6,1>2,01
12,6,1>2,0
3,6,0>3;1>2,01
5,6,0>3;1>2,0
6,6,0>3;1>2,01
9,6,0>3;1>2,01
10,6,0>3;1>2,1
12,6,0>3;1>2,
3,6,1>2;3>0,1
